player1,player2,team_abbreviation,MIN,NET RTG,OFF RTG,DEF RTG
Odiase T. , Simonovic M.,BAH,162,3.5,107.7,104.2
Simonovic M. , Haltali F.,BAH,62,-8.8,94,102.8
Maldunas G. , Lavrinovicius D.,LKB,70,-14,100,114
Chatzidakis M. , Willis D.,ARI,51,-9.8,88,97.8
Morgan C. , Terry E.,BES,109,10.4,123.8,113.4
Tanaskovic N. , Omic A.,BUD,86,14.1,114.1,100
Tanaskovic N. , Kamenjas K.,BUD,207,-3.3,117.4,120.7
Conditt IV G. , Pelos P.,CAN,141,-8.5,105.6,114.1
Pelos P. , Tobey M.,CAN,111,-10.5,92.6,103.1
Alexander K. , Makoundou Y.,TTK,250,-6,106,112
Pradilla J. , Costello M.,PAM,154,26.6,130.1,103.5
