#,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
1,Valencia Basket,0.615,0.581,163.2,36.3,70.6,54.2,68.7,15,9.8,8.2,1.4,79.2,124.3,107.2,17.2,"1,694.60",76.6
2,Hapoel Tel Aviv,0.611,0.575,161.3,28.7,71.5,51,62.6,14.6,10.3,7.4,1.4,68.3,119.4,108.7,10.7,"1,771.50",73.3
3,Bahcesehir Koleji,0.581,0.531,158.7,33.8,70.7,52.8,65.4,14.2,9.5,6.3,1.4,62.3,117.5,108.4,9.1,"1,510.20",68.3
4,Hapoel Bank Yahav Jerusalem,0.566,0.509,152.5,32.4,69,50.5,61,15.6,11.4,6.8,1.4,61,112.1,104.5,7.6,"1,425.80",75
5,JL Bourg-en-Bresse,0.559,0.509,155.9,33.5,67.6,49.5,61.2,14,12.3,6.8,1.3,64.2,114.4,109.8,4.6,"1,363.80",75.8
6,Dreamland Gran Canaria,0.578,0.538,159.2,29.9,69.9,50.3,63,16.6,9.3,6.1,1.3,57.9,111.4,108.7,2.8,"1,771.30",70.2
7,U-Banca Transilvania Cluj Napoca,0.6,0.564,160.9,32.8,69.3,51.4,62.8,17.4,8.9,7.8,1.4,65.2,114.9,114,0.8,"1,546.00",76.3
8,KK Cedevita Olimpija Ljubljana,0.566,0.517,152.9,30.2,70,50,56,15.2,10.5,7.2,1.3,58,111.1,110.4,0.7,"1,488.00",74.4
9,Buducnost Voli Podgorica,0.592,0.557,159,30.9,73.2,51.7,56.2,15.1,8.8,5.6,1.4,60.5,116.1,115.8,0.3,"1,413.50",72.5
10,Besiktas Icrypex,0.58,0.544,156.6,30.2,70.8,48.8,59.1,15.1,10.8,4.3,1.3,58.2,113.5,113.2,0.3,"1,427.90",74.7
11,Wolves Twinsbet Vilnius,0.594,0.538,161.4,28,71.4,50,64.7,16.1,7.4,4.5,1.4,59.1,113.9,114.3,-0.4,"1,426.40",73.6
12,Umana Venezia,0.575,0.528,156.8,32.5,71.2,52.5,64.6,17.6,8.7,4.8,1.3,58.3,109.9,110.9,-1,"1,418.70",74.2
13,Turk Telekom,0.578,0.524,159.2,27.7,67.3,48.4,62.3,16.8,8.6,12.3,1.3,58.6,109.6,110.9,-1.3,"1,451.30",72.6
14,Ratiopharm Ulm,0.588,0.547,160,32.7,71,51.1,61.7,16.6,10.3,6.2,1.3,60.8,114.9,117.2,-2.3,"1,366.70",74.9
15,Joventut Badalona,0.575,0.54,154.2,28.7,69.1,49.3,64.9,16.2,7.3,6.8,1.3,56.5,110.9,117.5,-6.6,"1,290.50",71
16,7Bet-Lietkabelis Panevezys,0.567,0.516,152.3,30.4,70.1,49.8,65.2,16.4,10.5,6.8,1.3,56.4,109.7,116.8,-7.1,"1,355.40",74.3
17,Dolomiti Energia Trento,0.551,0.514,150.6,26.5,70.8,48.3,56,17.4,9.2,6.1,1.2,52.2,104.2,111.4,-7.2,"1,368.50",75.5
18,Veolia Towers Hamburg,0.535,0.5,146.9,33.2,65,48.6,60.6,19.4,11,8.2,1.2,51.6,101.9,113.5,-11.6,"1,379.70",76.1
19,Trefl Sopot,0.535,0.485,150.2,28.1,69.5,48.5,61.9,17.1,7.9,5.3,1.2,47.9,102.4,115.6,-13.3,"1,342.10",73.5
20,Aris Midea Thessaloniki,0.525,0.491,143.6,32.1,61.3,46.4,49.9,17.9,9.9,7.2,1.2,43.2,102,115.8,-13.8,"1,318.10",72.7
